,cbo_name,activity_type,activity_type_other,City,city_extracted,htc_category
2,OCAPICA,social_media,social media,,Garden Grove,immigrant / refugee
3,Institute for Healthcare Advancement ,social_media,Twitter,,Orange,immigrant / refugee
5,Institute for Healthcare Advancement ,social_media,Facebook ,,Orange,immigrant / refugee
6,Institute for Healthcare Advancement ,advertising,Street Banner,,Orange,immigrant / refugee
8,The Cambodian Family,advertising,In-language commerical aired on Khmer TV ,,Orange,immigrant / refugee
12,Institute for Healthcare Advancement ,advertising,Street Banner,,La Habra,immigrant / refugee
13,The Cambodian Family,advertising,In-language commerical aired on Khmer TV ,,Orange,immigrant / refugee
14,Institute for Healthcare Advancement ,social_media,Facebook ,,Orange,immigrant / refugee
16,The Cambodian Family,advertising,In-language commerical aired on Khmer TV ,,Orange,immigrant / refugee
19,The Cambodian Family,advertising,In-language commerical aired on Khmer TV ,,Orange,immigrant / refugee
20,Institute for Healthcare Advancement ,social_media,Instagram,,Orange,immigrant / refugee
22,OC HUman Relations,social_media,,,Orange,immigrant / refugee
23,The Cambodian Family,advertising,In-language commerical aired on Khmer TV ,,Orange,immigrant / refugee
27,AASCSC,social_media,,,Orange,immigrant / refugee
28,OC Human Relations,advertising,T-Shirts and Tote Bags distribution,Anaheim,Anaheim,immigrant / refugee
29,OC Human Relations,advertising,Banner at School ,Anaheim,Anaheim,immigrant / refugee
30,Institute for Healthcare Advancement ,social_media,Instagram,,Orange,immigrant / refugee
31,The Cambodian Family,advertising,In-language commerical aired on Khmer TV ,,Orange,immigrant / refugee
32,OC HUman Relations,advertising,Posters at Jimenez Food Truck,Anaheim,Anaheim,immigrant / refugee
33,OC Human Relations,advertising,Posters at Jimenez Food Truck,Anaheim,Anaheim,immigrant / refugee
34,The Cambodian Family,advertising,In-language commerical aired on Khmer TV ,,Orange,immigrant / refugee
35,OC Human Relations,advertising,Posters at Jimenez Food Truck,Anaheim,Anaheim,immigrant / refugee
36,OC Human Relations,advertising,Posters at Food Trucks,Anaheim,Anaheim,immigrant / refugee
37,OC Human Relations,advertising,Poster at Jimenez Food Truck Board,Anaheim,Anaheim,immigrant / refugee
38,OC Human Relations,advertising,Poster at Jimenez Food Truck Board,Anaheim,Anaheim,immigrant / refugee
39,AASCSC,social_media,,,Orange,immigrant / refugee
42,The Cambodian Family,advertising,In-language commerical aired on Khmer TV ,,Orange,immigrant / refugee
43,OC Human Relations,advertising,T-shirts and bags distribution. ,Anaheim,Anaheim,immigrant / refugee
50,AASCSC,social_media,,,Orange,immigrant / refugee
51,The Cambodian Family,advertising,In-language commerical aired on Khmer TV ,,Orange,immigrant / refugee
52,The Cambodian Family,advertising,In-language commerical aired on Khmer TV ,,Orange,immigrant / refugee
57,Project Access,advertising,Passing out Census Flyers,Cypress,Cypress,immigrant / refugee
58,OC Human Relations,advertising,T-shirts and bags distribution,Fullerton,Fullerton,immigrant / refugee
59,OC Human Relations,advertising,T-Shirts/Bags distribution,Fullerton,Fullerton,immigrant / refugee
60,AltaMed,advertising,,Garden Grove,Garden Grove,immigrant / refugee
69,The Cambodian Family,advertising,In-language commerical aired on Khmer TV ,,Orange,immigrant / refugee
70,AltaMed,advertising,,Huntington Beach,Huntington Beach,immigrant / refugee
72,Institute for Healthcare Advancement ,social_media,Instagram,,Orange,immigrant / refugee
74,Institute for Healthcare Advancement ,advertising,,La Habra,La Habra,immigrant / refugee
75,Institute for Healthcare Advancement ,advertising,,La Habra,La Habra,immigrant / refugee
80,Institute for Healthcare Advancement ,advertising,,La Habra,La Habra,immigrant / refugee
82,Institute for Healthcare Advancement ,advertising,,La Habra,La Habra,immigrant / refugee
83,Institute for Healthcare Advancement ,advertising,,La Habra,La Habra,immigrant / refugee
85,Institute for Healthcare Advancement ,advertising,,La Habra,La Habra,immigrant / refugee
86,Institute for Healthcare Advancement ,advertising,,La Habra,La Habra,immigrant / refugee
87,Institute for Healthcare Advancement ,advertising,,La Habra,La Habra,immigrant / refugee
92,AltaMed,advertising,,Orange,Orange,immigrant / refugee
94,The Cambodian Family,advertising,In-language commerical aired on Khmer TV ,,Orange,immigrant / refugee
95,OC Human Relations,advertising,,Orange,Orange,immigrant / refugee
96,OC Human Relations,advertising,,Orange,Orange,immigrant / refugee
100,OC Human Relations,advertising,Organizational website Slider,Orange,Orange,immigrant / refugee
101,Institute for Healthcare Advancement ,social_media,Twitter,,Orange,immigrant / refugee
102,OC Human Relations,advertising,Organizational Website,Orange,Orange,immigrant / refugee
103,OC Human Relations,advertising,Organizational Website ,Orange,Orange,immigrant / refugee
104,The Cambodian Family,advertising,In-language commerical aired on Khmer TV ,,Orange,immigrant / refugee
105,OC HUman Relations,advertising,Organizational Website,Orange,Orange,immigrant / refugee
106,OC Human Relations,advertising,Organizational website,Orange,Orange,immigrant / refugee
107,The Cambodian Family,advertising,In-language commerical aired on Khmer TV ,,Orange,immigrant / refugee
108,OC Human Relations,advertising,Organizational Website,Orange,Orange,immigrant / refugee
109,The Cambodian Family,advertising,In-language commerical aired on Khmer TV ,,Orange,immigrant / refugee
110,Institute for Healthcare Advancement ,social_media,Twitter,,Orange,immigrant / refugee
111,OC Human Relation,advertising,Posters at Food Trucks,Orange,Orange,immigrant / refugee
112,OC Human Relations,advertising,Organizational Website,Orange,Orange,immigrant / refugee
113,The Cambodian Family,advertising,In-language commerical aired on Khmer TV ,,Orange,immigrant / refugee
114,OC Human Relations,advertising,Posters at Foodtrucks,Orange,Orange,immigrant / refugee
115,OC Human Relations,advertising,Organizational Website,Orange,Orange,immigrant / refugee
116,OC Human Relations,advertising,Posters at Foodtrucks,Orange,Orange,immigrant / refugee
117,Institute for Healthcare Advancement ,advertising,La Habra Collaborative Website,,Orange,immigrant / refugee
118,OC Human Relations,advertising,Organizational Website,Orange,Orange,immigrant / refugee
119,OC Human Relations,advertising,social_media,Orange,Orange,immigrant / refugee
120,OC Human Relations,advertising,Banners at Schools,Orange,Orange,immigrant / refugee
121,OC Human Relations,advertising,Banners at Churches,Orange,Orange,immigrant / refugee
122,OC Human Relations,advertising,Posters at Foodtrucks,Orange,Orange,immigrant / refugee
123,OC Human Relations,advertising,Organizational Website,Orange,Orange,immigrant / refugee
124,The Cambodian Family,advertising,In-language commerical aired on Khmer TV ,,Orange,immigrant / refugee
125,AASCSC,social_media,,,Orange,immigrant / refugee
126,OC Human Relations,advertising,Posters and Banners,Orange,Orange,immigrant / refugee
128,CAIR-LA,advertising,Friday prayer annoucement ,Orange,Orange,immigrant / refugee
130,OC Human Relations,advertising,T-shirts/Bags distribution,Placentia,Placentia,immigrant / refugee
132,OC Human Relations,advertising,T-Shirts/Bags distribution,Santa Ana,Santa Ana,immigrant / refugee
134,The Cambodian Family,advertising,In-language commerical aired on Khmer TV ,,Orange,immigrant / refugee
136,Institute for Healthcare Advancement ,social_media,Facebook ,,Orange,immigrant / refugee
138,The Cambodian Family,advertising,,Santa Ana,Santa Ana,immigrant / refugee
139,The Cambodian Family,advertising,,Santa Ana,Santa Ana,immigrant / refugee
141,The Cambodian Family,advertising,In-language commerical aired on Khmer TV ,,Orange,immigrant / refugee
144,AASCSC,social_media,,,Orange,immigrant / refugee
145,The Cambodian Family,advertising,,Santa Ana,Santa Ana,immigrant / refugee
146,The Cambodian Family,advertising,,Santa Ana,Santa Ana,immigrant / refugee
148,"Southland Integrated Services, Inc.",social_media,Facebook-Social media post,,Orange,immigrant / refugee
150,The Cambodian Family,advertising,,Santa Ana,Santa Ana,immigrant / refugee
163,AASCSC,social_media,,,Orange,immigrant / refugee
164,Catholic Charities of Orange County,advertising,,Santa Ana,Santa Ana,immigrant / refugee
165,OC Human Relations,advertising,T-Shirts/Bags distribution,Santa Ana,Santa Ana,immigrant / refugee
166,OC Human Relations,advertising,T-shirts/Bags distribution,Santa Ana,Santa Ana,immigrant / refugee
167,OC Human Relations,advertising,T-Shirts and Tote Bags distribution,Santa Ana,Santa Ana,immigrant / refugee
168,OC Human Relations,advertising,Posters at Station Liquor & Deli,Tustin,Tustin,immigrant / refugee
169,OC Human Relations,advertising,Posters at Station Liquor & Deli,Tustin,Tustin,immigrant / refugee
170,The Cambodian Family,advertising,In-language commerical aired on Khmer TV ,,Orange,immigrant / refugee
171,The Cambodian Family,advertising,In-language commerical aired on Khmer TV ,,Orange,immigrant / refugee
173,OC Human Relations,advertising,Posters at Station Liquor and Deli,Tustin,Tustin,immigrant / refugee
174,OC Human Relations,advertising,T-shirts and bags distribution. Door hungers,Tustin,Tustin,immigrant / refugee
175,Institute for Healthcare Advancement ,social_media,Twitter,,Orange,immigrant / refugee
176,South Asian Network,booths,,Anaheim,Anaheim,immigrant / refugee
177,Access California Services,booths,Friday Prayer,Anaheim,Anaheim,immigrant / refugee
178,Institute for Healthcare Advancement ,social_media,Twitter,,Orange,immigrant / refugee
180,KCS,booths,Tabling flyers and Q&A,Anaheim,Anaheim,immigrant / refugee
181,OC Human Relations,booths,,Anaheim,Anaheim,immigrant / refugee
183,South Asian Network,booths,,Buena Park,Buena Park,immigrant / refugee
184,AASCSC,social_media,,,Orange,immigrant / refugee
185,KCS,booths,,Buena Park,Buena Park,immigrant / refugee
186,KCS ,booths,Tabling flyers and Q&A,Buena Park,Buena Park,immigrant / refugee
187,KCS,booths,Tabling flyers and Q&A,Buena Park,Buena Park,immigrant / refugee
188,KCS,booths,,Buena Park,Buena Park,immigrant / refugee
191,AASCSC,booths,,Costa Mesa,Costa Mesa,immigrant / refugee
192,The Cambodian Family,booths,,Fountain Valley,Fountain Valley,immigrant / refugee
194,The Cambodian Family,booths,,Fountain Valley,Fountain Valley,immigrant / refugee
195,The Cambodian Family,booths,,Fountain Valley,Fountain Valley,immigrant / refugee
198,The Cambodian Family,advertising,In-language commerical aired on Khmer TV ,,Orange,immigrant / refugee
199,The Cambodian Family,advertising,In-language commerical aired on Khmer TV ,,Orange,immigrant / refugee
203,The Cambodian Family,advertising,In-language commerical aired on Khmer TV ,,Orange,immigrant / refugee
204,KCS,booths,Tabling flyers and Q&A,Fullerton,Fullerton,immigrant / refugee
205,KCS,booths,Tabling flyers and Q&A,Fullerton,Fullerton,immigrant / refugee
206,KCS,booths,Tabling flyers and Q&A,Fullerton,Fullerton,immigrant / refugee
208,Access California Services,booths,Friday Prayer,Fullerton,Fullerton,immigrant / refugee
211,KCS,booths,,Garden Grove,Garden Grove,immigrant / refugee
213,OC Human Relations,booths,,Garden Grove,Garden Grove,immigrant / refugee
215,OC Human Relations,booths,6th grade parent night,Garden Grove,Garden Grove,immigrant / refugee
217,Institute for Healthcare Advancement ,social_media,Facebook ,,Orange,immigrant / refugee
220,The Cambodian Family,media_other,Khmer TV Census Interview,,Orange,immigrant / refugee
226,The Cambodian Family,advertising,In-language commerical aired on Khmer TV ,,Orange,immigrant / refugee
228,OC Human Relations,canvassing,Door hungers,Anaheim,Anaheim,immigrant / refugee
229,OC Human Relations,canvassing,,Anaheim,Anaheim,immigrant / refugee
230,OC Human Relations,canvassing,Door hungers and flyers in Apartment Complexes and neighborhood areas,Anaheim,Anaheim,immigrant / refugee
231,OC Human Relations,canvassing,,Anaheim,Anaheim,immigrant / refugee
232,OC Human Relations,canvassing,,Anaheim,Anaheim,immigrant / refugee
233,OC Human Relations,canvassing,Door hungers and flyers in Apartment Complexes and neighborhood areas,Anaheim,Anaheim,immigrant / refugee
234,The Cambodian Family,advertising,In-language commerical aired on Khmer TV ,,Orange,immigrant / refugee
237,The Cambodian Family,advertising,In-language commerical aired on Khmer TV ,,Orange,immigrant / refugee
238,OC Human Relations,canvassing,,Fullerton,Fullerton,immigrant / refugee
239,OC Human Relations,canvassing,,Fullerton,Fullerton,immigrant / refugee
241,OC Human Relations,canvassing,,Fullerton,Fullerton,immigrant / refugee
242,OC Human Relations,canvassing,,Santa Ana,Santa Ana,immigrant / refugee
243,Institute for Healthcare Advancement ,social_media,Facebook,,Orange,immigrant / refugee
245,The Cambodian Family,advertising,In-language commerical aired on Khmer TV ,,Orange,immigrant / refugee
248,OC Human Relations,canvassing,,Santa Ana,Santa Ana,immigrant / refugee
250,OC Human Relations,canvassing,,Santa Ana,Santa Ana,immigrant / refugee
253,OC Human Relations,canvassing,Door hungers,Santa Ana,Santa Ana,immigrant / refugee
254,OC Human Relations,canvassing,,Santa Ana,Santa Ana,immigrant / refugee
255,The Cambodian Family,canvassing,,Santa Ana,Santa Ana,immigrant / refugee
256,OC Human Relations,canvassing,,Santa Ana,Santa Ana,immigrant / refugee
258,Institute for Healthcare Advancement ,social_media,Instagram,,Orange,immigrant / refugee
259,OC Human Relations,canvassing,,Santa Ana,Santa Ana,immigrant / refugee
260,OC Human Relations,canvassing,,Santa Ana,Santa Ana,immigrant / refugee
262,OC Human Relations,canvassing,,Santa Ana,Santa Ana,immigrant / refugee
263,OC Human Relations,canvassing,Door hungers and flyers in Casa Cortez Apartments and neighborhood areas,Tustin,Tustin,immigrant / refugee
272,Institute for Healthcare Advancement ,social_media,Facebook ,,Orange,immigrant / refugee
274,Institute for Healthcare Advancement ,social_media,Instagram,,Orange,immigrant / refugee
275,Institute for Healthcare Advancement ,social_media,Twitter,,Orange,immigrant / refugee
278,AASCSC,social_media,,,Orange,immigrant / refugee
284,OC Human Relations,social_media,,,Orange,immigrant / refugee
285,The Cambodian Family,advertising,In-language commerical aired on Khmer TV ,,Orange,immigrant / refugee
287,The Cambodian Family,advertising,In-language commerical aired on Khmer TV ,,Orange,immigrant / refugee
288,The Cambodian Family,advertising,In-language commerical aired on Khmer TV ,,Orange,immigrant / refugee
289,OC Human Relations,social_media,,,Orange,immigrant / refugee
292,The Cambodian Family,advertising,In-language commerical aired on Khmer TV ,,Orange,immigrant / refugee
294,OC HUman Relations,social_media,,,Orange,immigrant / refugee
297,Institute for Healthcare Advancement ,social_media,Twitter,,Orange,immigrant / refugee
315,OC Human Relations,advertising,Organizational Newsletter,,Orange,immigrant / refugee
320,The Cambodian Family,advertising,In-language commerical aired on Khmer TV ,,Orange,immigrant / refugee
325,CAP OC,collateral,,Orange,Orange,immigrant / refugee
331,Institute for Healthcare Advancement ,social_media,Instagram,,Orange,immigrant / refugee
332,AASCSC,social_media,,,Orange,immigrant / refugee
333,The Cambodian Family,advertising,In-language commerical aired on Khmer TV ,,Orange,immigrant / refugee
335,AASCSC,social_media,,,Orange,immigrant / refugee
342,The Cambodian Family,advertising,In-language commerical aired on Khmer TV ,,Santa Ana,immigrant / refugee
343,The Cambodian Family,advertising,In-language commerical aired on Khmer TV ,,Santa Ana,immigrant / refugee
353,The Cambodian Family,advertising,In-language commerical aired on Khmer TV ,,Santa Ana,immigrant / refugee
354,CAIR-LA,media_other,Video on Facebook,,,immigrant / refugee
363,The Cambodian Family,advertising,In-language commerical aired on Khmer TV ,,Santa Ana,immigrant / refugee
364,The Cambodian Family,advertising,In-language commerical aired on Khmer TV ,,Santa Ana,immigrant / refugee
366,CAIR-LA,webinar,Census Live Run Through,,,immigrant / refugee
369,The Cambodian Family,advertising,In-language commerical aired on Khmer TV ,,Santa Ana,immigrant / refugee
376,KCS,education_forum,,Fullerton,Fullerton,immigrant / refugee
378,KCS,other,Article published on news bulletin,,Anaheim,immigrant / refugee
383,The Cambodian Family,advertising,In-language commerical aired on Khmer TV ,,Santa Ana,immigrant / refugee
387,OCAPICA,social_media,social media,,Garden Grove,immigrant / refugee
388,OCAPICA,social_media,social media,,Garden Grove,immigrant / refugee
393,The Cambodian Family,social_media,Khmer TV Census Poem - KHM,,Orange,immigrant / refugee
401,OCAPICA,webinar,,,Garden Grove,immigrant / refugee
403,Access California Services,flyers,AccessCal distributed milk gallons to community members on-site and passed out informational material about the Census,,Anaheim,immigrant / refugee
408,CAIR-LA,event,,Anaheim,Anaheim,immigrant / refugee
409,Orange County United Way,event,,Anaheim,Anaheim,immigrant / refugee
415,OC Human Relations,event,,Anaheim,Anaheim,immigrant / refugee
419,KCS,event,CIRF Projcet,Buena Park,Buena Park,immigrant / refugee
420,KCS,event,Love Partners and Supporters event,Buena Park,Buena Park,immigrant / refugee
423,AASCSC,social_media,,,Orange,immigrant / refugee
425,Orange County United Way,event,,Cypress,Cypress,immigrant / refugee
427,CAIR-LA,event,,Fullerton,Fullerton,immigrant / refugee
428,CAIR-LA,event,,Fullerton,Fullerton,immigrant / refugee
430,"Southland Integrated Services, Inc. ",event,monthly community educational seminar,Garden Grove,Garden Grove,immigrant / refugee
431,OCAPICA,event,AAPI CBO coalition,Garden Grove,Garden Grove,immigrant / refugee
437,The Cambodian Family,advertising,In-language commerical aired on Khmer TV ,,Santa Ana,immigrant / refugee
438,AASCSC,event,,Irvine,Irvine,immigrant / refugee
441,AASCSC,event,,Irvine,Irvine,immigrant / refugee
