,cbo_name,activities,City,HTC,language_string,lang_count,language
0,Access California Services,"Social Media post, Friday Prayer, distributed Census postcards to families who picked up toys for AccessCals Drive-Thru Eid Wish List, AccessCal distributed diapers to community members on-site and passed out informational material about the Census, video on facebook, Social Media post about Census forms mailed out and showed MENA vignette, Social Media post showing MENA vignette, Tik Tok video, Facebook post",Anaheim,Born Outside of U.S.,"Arabic, Hindi",lang1,Arabic
1,CAIR-LA,"event, flyers",Anaheim,"Born Outside of U.S., Limited English Speaking Ability","Arabic, Hindi, Farsi, Other",lang1,Arabic
2,CAP OC,"booths, collateral, flyers, phone_banking",Anaheim,Children Under 5,no_language_info,lang1,no_language_info
3,Clergy and Laity United for Economic Justice,,Anaheim,,no_language_info,lang1,no_language_info
4,Institute for Healthcare Advancement ,,Anaheim,,no_language_info,lang1,no_language_info
5,Jamboree Housing Corporation,"advertising, collateral, flyers, phone_banking",Anaheim,,"Spanish, Other",lang1,Spanish
6,KCS,"Tabling flyers and Q&A, Alumni Association Seminar",Anaheim,"Born Outside of U.S., Limited English Speaking Ability",Korean,lang1,Korean
7,NALEO Educational Fund,,Anaheim,,no_language_info,lang1,no_language_info
8,OC Human Relations,"booths,  event, T-Shirts and Tote Bags distribution, Banner at School, Posters at Jimenez Food Truck, Poster at Jimenez Food Truck Board, T-shirts and bags distribution",Anaheim,"Born Outside of U.S., Children Under 5, Limited English Speaking Ability","Spanish, Vietnamese",lang1,Spanish
9,OC Labor ,Immigration forum/ Census 101,Anaheim,,no_language_info,lang1,no_language_info
10,OCAPICA,"event, speaking_engagement, webinar",Anaheim,,no_language_info,lang1,no_language_info
11,OCCCO,"Facebook post, Census information was distributed at a food distribution center at St. Boniface address, Announcements and information table, event, Mass texting to hard to count census tracts in Santa ana",Anaheim,,"Spanish, Vietnamese, Other",lang1,Spanish
12,Orange County United Way,"event, speaking_engagement",Anaheim,"Born Outside of U.S., Children Under 5, Limited English Speaking Ability","russian, Spanish, Vietnamese, Other",lang1,russian
13,Project Access,flyers,Anaheim,,no_language_info,lang1,no_language_info
14,South Asian Network,booths,Anaheim,"Born Outside of U.S., Children Under 5, Limited English Speaking Ability",Hindi,lang1,Hindi
15,The LGBTQ Center OC,advertising,Anaheim,Limited English Speaking Ability,Spanish,lang1,Spanish
16,CAP OC ,"booths, speaking_engagement",Brea,,no_language_info,lang1,no_language_info
17,Jamboree Housing Corporation,"advertising, flyers, phone_banking",Brea,,"Spanish, Vietnamese",lang1,Spanish
18,CHIRLA,phone_banking,Buena Park,Limited English Speaking Ability,Spanish,lang1,Spanish
19,Jamboree Housing Corporation,"flyers, phone_banking",Buena Park,,no_language_info,lang1,no_language_info
20,KCS,"Send Census text messages to KCS patients/clients, Telehealth and telephone inquiry about Census, Tabling flyers and Q&A, California Immigrant Resilience Fund Project, CIRF Projcet, Love Partners and Supporters event,  Media post, Substance use disorder prevention and intervention group outreach, Telephone inquiry",Buena Park,"Born Outside of U.S., Limited English Speaking Ability","Korean, Spanish",lang1,Korean
21,OCCCO,phone_banking,Buena Park,,Spanish,lang1,Spanish
22,Orange County Labor Federation,set up a booth for their membership meeting and shared information about the Census. Also collected Pledge Cards.,Buena Park,,no_language_info,lang1,no_language_info
23,South Asian Network,booths,Buena Park,"Born Outside of U.S., Children Under 5, Limited English Speaking Ability",Punjabi,lang1,Punjabi
24,AASCSC,booths,Costa Mesa,"Born Outside of U.S., Children Under 5, Limited English Speaking Ability","Cantonese, Chinese, Mandarin, Min Nan Chinese, Other",lang1,Cantonese
25,OCAPICA,event,Costa Mesa,,no_language_info,lang1,no_language_info
26,OCCCO,"Congregations Spanish-speaking mass, Dissemination of flyers and announcements at Spanish-speaking Groups, 1-1 conversations and flyering outside latino-serving stores, Couples Prayer Group at The Crossing Church, 1-1 conversations with Orange County friends, family, and resgistered voters",Costa Mesa,,Spanish,lang1,Spanish
27,Orange County Labor Federation,Information on Census and Q&A education forum,Costa Mesa,,no_language_info,lang1,no_language_info
28,The Cambodian Family,booths,Costa Mesa,,Spanish,lang1,Spanish
29,Orange County United Way,event,Cypress,"Born Outside of U.S., Limited English Speaking Ability","Arabic, Filipino, Spanish, Other",lang1,Arabic
30,Project Access,"Passing out Census Flyers, flyers, Food Bank Distribution, Food Pantry",Cypress,"Born Outside of U.S., Limited English Speaking Ability","Arabic, Farsi, Hindi, Korean, Spanish, Vietnamese, Other",lang1,Arabic
31,CAP OC,collateral,Fountain Valley,Children Under 5,no_language_info,lang1,no_language_info
32,OC Herald Center,Garden of Lily Bi-monthly gathering,Fountain Valley,,Chinese,lang1,Chinese
