cbo_name,parent_organization,activity_type,activity_type_other,date_of_activity,activity_end_date,advertising_end_date,total_number_of_alert_sign_ups,total_people_spoken_to,City,address,description,total_number_of_houses,how_assisted,total_number_assisted,event_name,audience_details,education_grade,activity_total_material_dist,activity_collateral_dtls,activity_social_media_chan,total_number_nudgedalerted,total_number_of_calls,total_number_of_pledge_cards,total_number_of_impressions,impression_data_accuracy_confid,total_htc_of_impressions,htc_data_accuracy_confidence,HTC,immigrants_refugees,children_ages_0_5,limited_english_proficient_indi,htc_breakdown_data_confidence,Language,lang_arabic,lang_armenian,lang_assyrian_neo_aramaic,lang_cantonese,lang_chaldean_neo_aramaic,lang_chinese,lang_farsi,lang_filipino,lang_hindi,lang_hmong,lang_iu_mien,lang_japanese,lang_khmer,lang_korean,lang_mandarin,lang_min_nan_chinese,lang_portuguese,lang_punjabi,lang_russian,lang_spanish,lang_tagalog,lang_telugu,lang_thai,lang_ukrainian,lang_vietnamese,lang_other_info,lang_breakdown_data_confidence,funding_state_allocated,funding_county_direct,funding_acbo_direct,funding_foundation,funding_private,funding_volunteer_hours,qac_total_had_info_no_census,qac_total_completed_pc,qac_total_completed_phone,qac_total_completed_uscb_phone
Charitable Ventures of OC,Kennedy Commission/ SAELI,phone_banking,,8/1/2020,,,,,,orange,,,,,,,,,,,,,,1151,exact,100,very_high,,,,,low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAP OC ,Charitable Ventures,collateral,,3/24/2020,,,,,,"18672 e center ave, orange 92869",,,,,,,,,First 5: Diaper Bank,,,,,600,exact,100,high,,,,,low,,,,,,,,,,,,,,,,,,,,,,,,,,,,low,,,,,,,,,,
OCAPICA,Charitable Ventures,social_media,social media,2/5/2020,,,,,,"12912 brookhurst st, garden grove 92840",,,,,,,,,,,,,,319,high,80,,immigrants_refugees,100,,,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Institute for Healthcare Advancement ,Charitable Ventures,social_media,Twitter,3/10/2020,,8/31/2020,,,,north orange county,Social Media Post,,,,,,,,,,,,,1103,very_high,90,very_high,"immigrants_refugees, children_ages_0_5, limited_english_proficient_indi",10,35,35,low,"korean, spanish",,,,,,,,,,,,,,10,,,,,,1103,,,,,,,very_high,,,,,,,,,,
Orange County Labor Federarion ,Charitable Ventures,advertising,Social media advertising ,4/20/2020,,,,,,"309 n. rampart street, suite a, orange 92868",,,,,,,,,,,,,,3882,high,70,high,,,,,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Institute for Healthcare Advancement ,Charitable Ventures,social_media,Facebook ,3/10/2020,,8/31/2020,,,,north orange county,Social Media Post,,,,,,,,,,,,,386,very_high,90,very_high,"immigrants_refugees, children_ages_0_5, limited_english_proficient_indi",20,30,50,low,"korean, spanish",,,,,,,,,,,,,,10,,,,,,386,,,,,,,very_high,,,,,,,,,,
Institute for Healthcare Advancement ,Charitable Ventures,advertising,Street Banner,5/1/2020,7/31/2020,7/31/2020,,,,orange,Street Banner on La Habra Blvd in La Habra,,,,,,,,,,,,,22700,very_high,,very_high,"immigrants_refugees, children_ages_0_5, limited_english_proficient_indi",2000,16225,12883,low,spanish,,,,,,,,,,,,,,,,,,,,22700,,,,,,,very_high,,,,,,,,,,
CAIR-LA,Charitable Ventures,social_media,Social media and newsletter,10/15/2020,10/16/2020,10/16/2020,,,,islamic center of yorba linda,"Social media and email blast to community members who follow and/are subscribed to the email list serv.  On average, at least 300 HUNDRED FAMILIES are contacted.",,,,,,,,,,,,,1000,high,95,medium,,,,,,"arabic, filipino, hindi",40,,,,,,,20,40,,,,,,,,,,,,,,,,,,medium,,,,,,,,,,
The Cambodian Family,Charitable Ventures,advertising,In-language commerical aired on Khmer TV ,7/21/2020,,,,,,orange,,,,,,,,,,,,,,2150,high,90,very_high,immigrants_refugees,1935,,,exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,exact,,,,,,,,,,
CAIR-LA,Charitable Ventures,social_media,Social media and newsletter,10/15/2020,10/16/2020,10/16/2020,,,,islamic center of irvine,"Social media and email blast to community members who follow and/are subscribed to the email list serv.  On average, at least 300 HUNDRED FAMILIES are contacted.",,,,,,,,,,,,,1000,high,95,medium,,,,,,"arabic, filipino, hindi",40,,,,,,,20,40,,,,,,,,,,,,,,,,,,medium,,,,,,,,,,
OCCCO,Charitable Ventures,advertising,Facebook,3/17/2020,,,,,,occco facebook,Promoting the census numbers that people can count on,,,,,,,,,,,,,183,very_high,100,very_high,,,,,exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,exact,,,,,,,,,,
CAIR-LA,Charitable Ventures,advertising,Social media and email blast,10/15/2020,10/16/2020,10/16/2020,,,,uplift charity,Social media and email blast to community members who follow and/are subscribed to the email list serv.,,,,,,,,,,,,,400,medium,95,medium,,,,,,"arabic, hindi",30,,,,,,,,50,,,,,,,,,,,,,,,,,20,medium,,,,,,,,,,
Institute for Healthcare Advancement ,Charitable Ventures,advertising,Street Banner,7/31/2020,9/30/2020,,,,,"900 w la habra blvd, la habra ca 90631",Street Banner on La Habra Blvd in La Habra,,,,,,,,,,,,,22700,very_high,90,very_high,"immigrants_refugees, children_ages_0_5, limited_english_proficient_indi",2000,16225,12883,low,spanish,,,,,,,,,,,,,,,,,,,,22700,,,,,,,very_high,,,,,,,,,,
The Cambodian Family,Charitable Ventures,advertising,In-language commerical aired on Khmer TV ,6/25/2020,,,,,,orange,,,,,,,,,,,,,,2150,high,90,very_high,immigrants_refugees,1935,,,exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,exact,,,,,,,,,,
Institute for Healthcare Advancement ,Charitable Ventures,social_media,Facebook ,4/20/2020,,4/24/2020,,,,orange,Social Media Post,,,,,,,,,,,,,140,very_high,90,very_high,"immigrants_refugees, children_ages_0_5, limited_english_proficient_indi",20,30,50,low,spanish,,,,,,,,,,,,,,,,,,,,140,,,,,,,very_high,,,,,,,,,,
CAIR-LA,Charitable Ventures,social_media,Social media and newsletter,10/15/2020,10/16/2020,10/16/2020,,,,islamic institute of orange county,"Social media and email blast to community members who follow and/are subscribed to the email list serv.  On average, at least 300 HUNDRED FAMILIES are contacted.",,,,,,,,,,,,,1000,high,95,medium,,,,,,"arabic, filipino, hindi",40,,,,,,,20,40,,,,,,,,,,,,,,,,,,medium,,,,,,,,,,
The Cambodian Family,Charitable Ventures,advertising,In-language commerical aired on Khmer TV ,7/23/2020,,,,,,orange,,,,,,,,,,,,,,2150,high,90,very_high,immigrants_refugees,1935,,,exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,exact,,,,,,,,,,
Latino Health Access,Charitable Ventures,social_media,,4/17/2020,,,,,,orange,Instagram Post ,,,,,,,,,,,,,66,exact,70,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
