,cbo_name,parent_organization,activity_type,activity_type_other,date_of_activity,activity_end_date,advertising_end_date,total_number_of_alert_sign_ups,total_people_spoken_to,City,address,description,total_number_of_houses,how_assisted,total_number_assisted,event_name,audience_details,education_grade,activity_total_material_dist,activity_collateral_dtls,activity_social_media_chan,total_number_nudgedalerted,total_number_of_calls,total_number_of_pledge_cards,total_number_of_impressions,impression_data_accuracy_confid,total_htc_of_impressions,htc_data_accuracy_confidence,immigrants_refugees,middle_eastern_and_north_africa,homeless_individuals_and_famili,farmworkers,veterans,latinos,asian_americans_pacific_islande,african_americans,native_americans_tribal_communi,children_ages_0_5,lesbian_gay_bisexual_transgende,limited_english_proficient_indi,people_with_disabilities,seniorsolder_adults,low_broadband_subscription_rate,htc_breakdown_data_confidence,lang_arabic,lang_armenian,lang_assyrian_neo_aramaic,lang_cantonese,lang_chaldean_neo_aramaic,lang_chinese,lang_farsi,lang_filipino,lang_hindi,lang_hmong,lang_iu_mien,lang_japanese,lang_khmer,lang_korean,lang_mandarin,lang_min_nan_chinese,lang_portuguese,lang_punjabi,lang_russian,lang_spanish,lang_tagalog,lang_telugu,lang_thai,lang_ukrainian,lang_vietnamese,lang_other_info,lang_breakdown_data_confidence,funding_state_allocated,funding_county_direct,funding_acbo_direct,funding_foundation,funding_private,funding_volunteer_hours,qac_total_had_info_no_census,qac_total_completed_pc,qac_total_completed_phone,qac_total_completed_uscb_phone,city_match
0,Charitable Ventures of OC,Kennedy Commission/ SAELI,phone_banking,,8/1/2020,,,,,,orange,,,,,,,,,,,,,,1151,exact,100.0,very_high,,,,,,,,,,,,,,,,low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orange
1,CAP OC ,Charitable Ventures,collateral,,3/24/2020,,,,,,"18672 e center ave, orange 92869",,,,,,,,,First 5: Diaper Bank,,,,,600,exact,100.0,high,,,,,,,,,,,,,,,,low,,,,,,,,,,,,,,,,,,,,,,,,,,,low,,,,,,,,,,,Orange
2,OCAPICA,Charitable Ventures,social_media,social media,2/5/2020,,,,,,"12912 brookhurst st, garden grove 92840",,,,,,,,,,,,,,319,high,80.0,,100.0,100.0,,,,100.0,200.0,50.0,,,,,,,,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Garden Grove
3,Institute for Healthcare Advancement ,Charitable Ventures,social_media,Twitter,3/10/2020,,8/31/2020,,,,north orange county,Social Media Post,,,,,,,,,,,,,1103,very_high,90.0,very_high,10.0,5.0,3.0,,10.0,79.0,5.0,,,35.0,,35.0,,3.0,,low,,,,,,,,,,,,,,10.0,,,,,,1103.0,,,,,,,very_high,,,,,,,,,,,Orange
4,Orange County Labor Federarion ,Charitable Ventures,advertising,Social media advertising ,4/20/2020,,,,,,"309 n. rampart street, suite a, orange 92868",,,,,,,,,,,,,,3882,high,70.0,high,,,,,,,,,,,,,,,,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orange
5,Institute for Healthcare Advancement ,Charitable Ventures,social_media,Facebook ,3/10/2020,,8/31/2020,,,,north orange county,Social Media Post,,,,,,,,,,,,,386,very_high,90.0,very_high,20.0,2.0,3.0,,,80.0,5.0,,,30.0,,50.0,,15.0,,low,,,,,,,,,,,,,,10.0,,,,,,386.0,,,,,,,very_high,,,,,,,,,,,Orange
6,Institute for Healthcare Advancement ,Charitable Ventures,advertising,Street Banner,5/1/2020,7/31/2020,7/31/2020,,,,orange,Street Banner on La Habra Blvd in La Habra,,,,,,,,,,,,,22700,very_high,,very_high,2000.0,,6000.0,,1766.0,11350.0,7000.0,,,16225.0,,12883.0,,6549.0,,low,,,,,,,,,,,,,,,,,,,,22700.0,,,,,,,very_high,,,,,,,,,,,Orange
7,CAIR-LA,Charitable Ventures,social_media,Social media and newsletter,10/15/2020,10/16/2020,10/16/2020,,,,islamic center of yorba linda,"Social media and email blast to community members who follow and/are subscribed to the email list serv.  On average, at least 300 HUNDRED FAMILIES are contacted.",,,,,,,,,,,,,1000,high,95.0,medium,,,,,,,,,,,,,,,,,40.0,,,,,,,20.0,40.0,,,,,,,,,,,,,,,,,,medium,,,,,,,,,,,Yorba Linda
8,The Cambodian Family,Charitable Ventures,advertising,In-language commerical aired on Khmer TV ,7/21/2020,,,,,,orange,,,,,,,,,,,,,,2150,high,90.0,very_high,1935.0,,,,,,,,,,,,,,,exact,,,,,,,,,,,,,,,,,,,,,,,,,,,exact,,,,,,,,,,,Orange
9,CAIR-LA,Charitable Ventures,social_media,Social media and newsletter,10/15/2020,10/16/2020,10/16/2020,,,,islamic center of irvine,"Social media and email blast to community members who follow and/are subscribed to the email list serv.  On average, at least 300 HUNDRED FAMILIES are contacted.",,,,,,,,,,,,,1000,high,95.0,medium,,,,,,,,,,,,,,,,,40.0,,,,,,,20.0,40.0,,,,,,,,,,,,,,,,,,medium,,,,,,,,,,,Irvine
10,OCCCO,Charitable Ventures,advertising,Facebook,3/17/2020,,,,,,occco facebook,Promoting the census numbers that people can count on,,,,,,,,,,,,,183,very_high,100.0,very_high,,,,,,,,,,,,,,,,exact,,,,,,,,,,,,,,,,,,,,,,,,,,,exact,,,,,,,,,,,
